Address,Affiliated upto,Affiliation No.,Email,Head,Name,Phone No.,State,Status
"ROAD NO. 23,FARM AREA, KADMA ,831005",31/03/2022,3430266,buglimeena@gmail.com,MEENA BUGLI,DBMS KADMA HIGH SCHOOL,"0657 ,2310239",JHARKHAND,Senior Secondary
"NEAR TV TOWER BARKAGAON ROAD, HAZARIBAG,825301 ,825301",31/03/2018,3430317,dpshazaribag@gmail.com,RENU KUMARI SINHA,DELHI PUBLIC SCHOOL,"0654 ,223470",JHARKHAND,Secondary School
"TURIABERA, POST BHILAI PAHARI, MANGO THANA MGM, JAMSHEDPUR JHARKHAND ,831012",31/03/2020,3430184,dpsjsr.in@gmail.com,KIRANDEO SINGH,DELHI PUBLIC SCHOOL,"0657 ,2942873",JHARKHAND,Senior Secondary
"KARMIK BHAWAN DHANBAD (POST OFFICE ISM) DISTT DHANBAD JHARKHAND ,826004",31/03/2020,3430052,kbbhargava59@gmail.com,KUL BHUSHAN BHARGAVA,DELHI PUBLIC SCHOOL,"0326 ,2203259",JHARKHAND,Senior Secondary
"S A I L TOWN SHIP P O DHURWA RANCHI JHARKHAND ,834004",31/03/2023,3430053,rs1224@rediffmail.com,RAM SINGH,DELHI PUBLIC SCHOOL,"0651 ,2441176",JHARKHAND,Senior Secondary
"sect iv boko steel city distt bokaro jharkhand ,827004",31/03/2019,3430044,bko.hsm@gmail.com,HEMLATA S MOHAN,delhi public school,"6542 ,233544",JHARKHAND,Senior Secondary
"CHANDANKYARI ROAD ,827013",31/03/2021,3430369,rao.krishnadlj@gmail.com,Mr.K KRISHNA RAO,"DELHI PUBLIC SCHOOL, CHAS",",9204060521",JHARKHAND,Secondary School
"NEAR NEW POLICE LINE, MALIPARA, PAKUR - 816107 ,816107",31/03/2020,3430354,bm9kolkata@gmail.com,BIBHUDATTA MOHANTY,"DELHI PUBLIC SCHOOL, PAKUR","6435 ,223690",JHARKHAND,Secondary School
"p.o. devsangha bompas town b. deoghar jharkhand ,814114",31/03/2019,3430126,dsnsdeoghar@gmail.com,PANKAJ KUMAR,devsangha national school,"6432 ,292205",JHARKHAND,Senior Secondary
"BHULI ROAD BYE PASS B POLYTECHNIC DHANBAD ,828130",31/03/2019,3430145,tksinha_dcs@rediffmail.com,T K SINHA,DHANBAD CITY SCHOOL,"0326 ,9234302209",JHARKHAND,Senior Secondary
"GOVINDPUR ROAD(NEAR BHUIPORE MANDIR) P.O. K G ASHRAM DHANBAD JHARKHAND ,828109",31/03/2019,3430086,principaldps1989@gmail.com,SHARDA MAHAJAN,DHANBAD PUBLIC SCHOOL,"0326 ,9204794995",JHARKHAND,Senior Secondary
"PO.O. NAGNAGAR, ,826004",31/03/2022,3430242,principal.kkmdps@gmail.com,Purnima Sil,"DHANBAD PUBLIC SCHOOL,HIRAK BR","0326 ,9234301915",JHARKHAND,Secondary School
"AT+PO-GANGPACHO,PS-BARKATHA,DIST-HAZARIBAGH ,825323",31/03/2021,3430325,dpsbarkatha@gmail.com,MR.KAMLESH KUMAR,DIVINE PUBLIC SCHOOL,"6543 ,06543210092,",JHARKHAND,Senior Secondary
"VILL-RAMKANALI, P.O- NIRSHA, CITY-DHANBAD, NIRSHA ,828205",31/03/2018,3430316,donboscoramkanali@gmail.com,L BHASKAR RAO,DON BOSCO,"0 ,9204064582",JHARKHAND,Secondary School
"KUSUM VIHAR KOYLA NAGAR DHANBAD JHARKHAND ,826005",31/03/2017,3430115,doon_sunil@yahoo.co.in,BINOD KUMAR SINGH,DOON PUBLIC SCHOOL,"0326 ,2230713",JHARKHAND,Senior Secondary
AT,31/03/2020,3430306,bhabhapublicschool@gmail.com,AJAY KUMAR CHOUDHARY,DR. BHABHA PUBLIC SCHOOL,"6554 ,210020",JHARKHAND,Senior Secondary
"At-Bishunpur p.o-B Polytechnic Dist-Dhanbad ,828130",31/03/2022,3430291,dmfacademy@gmail.com,VANDANA VIHAR,Dwarika memorial foundation academy,"0326 ,9234134797",JHARKHAND,Secondary School
"at- tisinduri, post- khutpani, dist-west singhbhum, jharkhand- 833 204 ,",31/03/2020,3420002,,.,eklavya model residential school,",",JHARKHAND,Secondary School
"at- kathijia, post- kathijia, dist.- dumka, jharkhand- 814101 ,",31/03/2020,3420001,,.,eklavya model residential school,",",JHARKHAND,Secondary School
"Chianki, Medininagar ,822101",31/03/2019,3430233,epsasharps@rediffmail.com,AMARNATH,Elite Public School,"6562 ,2232165",JHARKHAND,Senior Secondary
"AT KESARGARIA, PS- RAJNAGAR, CHALIYAMA, JHARKHAND 833201 ,833201",31/03/2020,3430348,EPSCBSA@GMAIL.COM,Misssheela,ESTEEM PUBLIC SCHOOL,"01663 ,06582-255162",JHARKHAND,Secondary School
"5 MAIN ROAD NEAR RAILWAY BRIDGE RANCHI JHARKHAND ,834001",31/03/2022,3430209,fpsranchi@rediffmail.com,ANAND KUMAR DWIVEDI,FIRAYALAL PUBLIC SCHOOL,"0651 ,2208260",JHARKHAND,Senior Secondary
"JAIL ROAD EAST DISTT RANCHI, JHARKHAND ,834001",31/03/2020,3430039,principalgnhranchi@gmail.com,SUTAPA PAUL,G & H HIGH SCHOOL,"0651 ,2273120",JHARKHAND,Senior Secondary
"BANSHIIH,CHAS, ,827013",31/03/2020,3430344,bkscbhu@rediffmail.com,BINAY KUMAR SINGH CHOUDHARY,GAURAV AWASIYA UCHYA VIDALAY,"6542 ,265211",JHARKHAND,Secondary School
"TATISILWAI RANCHI JHARKHAND ,835103",31/03/2014,3430194,sumansahi1432@gmail.com,SEVA SHAHI,GAUTAM BUDDHA INTERNATIONAL SCHOOL,"0651 ,2265465",JHARKHAND,Secondary School
"AT & PO ADITYAPUR JAMESHEDPUR JHARKHAND ,831013",31/03/2018,3430196,info@superinternationalschool.com,DR NEELAM SINGH,GAYATRI SHIKSHA NIKETAN,"0657 ,2370086",JHARKHAND,Senior Secondary
"BHANDAR KOLA SATAR ROAD B DEOGHAR JHARKHAND ,814112",31/03/2018,3430162,pplramesh@rediffmail.com,RAMESH CHANDRA SHARMA,GEETA DEVI DAV PUBLIC SCHOOL,"6432 ,292286",JHARKHAND,Senior Secondary
"NAWADIH, PO-B.POLYTECHNIC, DHANBAD, JHARKHAND ,828130",31/03/2020,3430235,raviom07@rediffmail.com,RAVI PRAKASH TIWARY,GGCET ST XAVIERS INTERNATIONAL SCHOOL,"0326 ,6451349",JHARKHAND,Senior Secondary
"AT TAMULIA P.O. MANGO JAMSHEDPUR JHARKHAND ,831012",31/03/2021,3430114,sunitasinha.gvt@gmail.com,SUNITA SINHA,GOVIND VIDYALAYA,"0657 ,2943376",JHARKHAND,Senior Secondary
"arga kathal me road, dhipatoli, pundag ,834002",31/03/2017,3430241,GRKSCHOOL@GMAIL.COM,TAPATI SARKAR,"govindram kataruka school,","0651 ,2205505",JHARKHAND,Senior Secondary
"BAKSHI DIPA LOHARDAGA, JHARKHAND ,835302",31/03/2019,3430218,greatertrivenip.s@gmail.com,Sunita Chittora,GREATER TRIVENI PUBLIC SCHOOL,"0651 ,2234342",JHARKHAND,Senior Secondary
"PREM NAGAR HESAG PO HATIA RANCHI JHARKHAND ,834003",31/03/2019,3430160,singh.pallavi70@gmail.com,PALLAVI SINGH,GREENLAND PUBLIC SCHOOL,"0651 ,6455443",JHARKHAND,Senior Secondary
"POST TALAIYA DEM DISTT KODURMA JHARKHAND ,825413",31/03/2022,3430156,principal@grizzlyvidyalaya.com,RAJEEV KUMAR SINGH,GRIZZLY VIDYALAYA,"6534 ,235096",JHARKHAND,Senior Secondary
"JODADIH MORE, CHAS BOKARO STEEL CITY CHAS, DISTT BOKARO JHARKHAND ,827013",31/03/2019,3430208,ggpschas@rediffmail.com,JOSE THOMAS,GURU GOBIND SINGH PUBLIC SCHOOL,"6542 ,265655",JHARKHAND,Senior Secondary
"DHANBAD JHARKHAND ,826001",31/03/2018,3430210,principalggpsdhn@gmail.com,UMAKANT BARAL,GURU GOBIND SINGH PUBLIC SCHOOL,"0326 ,2301035",JHARKHAND,Senior Secondary
"KAMRE RATU ROAD RANCHI ,835222",31/03/2019,3430328,shabnamjleo@gmail.com,Shabnam Prasad,GURU GOBIND SINGH PUBLIC SCHOOL,"0651 ,6572228",JHARKHAND,Secondary School
"SECTOR V BOKARO STEEL CITY BOKARO JHARKHAND ,827006",31/03/2020,3430040,dey.subhodip@yahoo.com,SUBHODIP DEY,GURU GOVIND SINGH PUBLIC SCHOOL,"6542 ,268589",JHARKHAND,Senior Secondary
"GURU NANAK PURA PEPE COMPOUND RANCHI JHARKHAND ,834001",31/03/2019,3430005,ml.midha@gmail.com,MANOHAR LAL,GURU NANAK HR. SEC SCHOOL,"0651 ,2330996",JHARKHAND,Senior Secondary
"NEAR HOME GUARD TRAINING CENTRE PO CHIANKI DALTONGANJ SADAR DALTONGANJ PALAMAU JHARKHAND ,822133",31/03/2022,3430205,janasamarjit@gmail.com,SAMARJIT JANA,HERITAGE INTERNATIONAL SCHOOL,"6562 ,9308009619",JHARKHAND,Senior Secondary
"ITKI ROAD, BEHIND I.T.I (BUS STAND), HEHAL, RANCHI, JHARKHAND ,834005",31/03/2020,3430359,schoolhcps@gmail.com,Mrs.ARTI R. DAYAL,HOLY CHILD PUBLIC SCHOOL,",0651 3298879",JHARKHAND,Secondary School
"bokaro steel city bokaro distt jharkhand ,827010",31/03/2019,3430012,srkamalapaulhc@gmail.com,SR KAMALA PAUL BIHARI,holy cross school,"6542 ,253543",JHARKHAND,Senior Secondary
"GHATOTAND WEST BOKARO DT.HAZARIBAGH JHARKHAND ,825314",31/03/2023,3430055,holycross_tisco@yahoo.co.in,Sister Kamala Paul,HOLY CROSS SCHOOL,"6545 ,260078",JHARKHAND,Senior Secondary
"Chandankiyari, Bokaro p.o-chandankiyari ,pin-828124 dist-Bokaro, state-Jharkhand ,828124",31/03/2023,3430283,simonkiran@gmail.com,Kirthi Kiran,Holy Cross School,"6542 ,9279743663",JHARKHAND,Senior Secondary
"Holy Cross Road, Opp. PTC Ground Hazaribag ,825301",31/03/2019,3430304,simonkiran@gmail.com,Kirthi Kiran,Holy Cross School,"0654 ,272337",JHARKHAND,Senior Secondary
"Holy Cross School Pachamba PO Giridih District ,815316",31/03/2020,3430360,srjancyhc@gmail.com,JANCYMOL MATHEW,Holy Cross School,"6532 ,226493",JHARKHAND,Secondary School
"HAZARI BAGH JHARKHAND ,825301",31/03/2020,3430035,shalet05@gmail.com,SISTER SHALET,HOLY CROSS VOCATIONAL TRAINING INSTITUTE,"6546 ,224773",JHARKHAND,Senior Secondary
"PO KATRASGARH DISTT DHANBAD JHARKHAND ,828114",31/03/2019,3430170,vijayaroy2012@gmail.com,VIJAYA ROY,HOLY MOTHER'S ACADEMY,"0 ,8539836602",JHARKHAND,Senior Secondary
At,31/03/2021,3430282,principal.hhts@gmail.com,Anita Sinha,Honey Holy Trinity School,"6532 ,226529",JHARKHAND,Secondary School
"BHULI DHANBAD JHARKHAND ,828104",31/03/2022,3430091,sksingh5410@gmail.com,SHAILENDRA KUMAR SINGH,IMPERIAL SCHOOL OF LEARNING,"0326 ,6555519",JHARKHAND,Senior Secondary
"MITRA GARDEN ROHINI ROAD JASIDIH,DEOGHAR, JHARKHAND ,814142",31/03/2019,3430285,indianheritageschooldeoghar@gmail.com,MOON GUPTA,INDIAN HERITAGE SCHOOL,"6432 ,291961",JHARKHAND,Senior Secondary
"SUDAMDIH P O SUDAMDIH PROJECT DHANBAD DISTT JHARKHAND ,828126",31/03/2018,3430034,isljks@rediffmail.com,JUGAL KUMAR SARKAR,INDIAN SCHOOL OF LEARNING,"0326 ,2383141",JHARKHAND,Senior Secondary
"KATRAS MORH P O JHARIA DHANBAD DISTT JHARKHAND ,828111",31/03/2022,3430009,isljharia1@gmail.com,HEMANT KUMAR THAKUR,INDIAN SCHOOL OF LEARNING SR SEC SCH,"0326 ,2460532",JHARKHAND,Senior Secondary
"KANKE ROAD RANCHI JHARKHAND ,834006",31/03/2020,3430167,prskmishra@gmail.com,S K MISHRA,INTERNATIONAL PUBLIC SCHOOL,"91 ,9523953758",JHARKHAND,Senior Secondary
"Korrah, Hazaribagh ,825301",31/03/2022,3430301,surobhiroy00@gmail.com,SUROBHI ROY,JACK AND JILL SCHOOL,"6546 ,224223",JHARKHAND,Secondary School
"PANCHAVATI ROAD NEW BARIDIH JAMSHEDPUR JHARKHAND ,831017",31/03/2019,3430051,namiagar@gmail.com,NAMITA AGARWAL,JAMSHEDPUR PUBLIC SCHOOL,"0657 ,2285002",JHARKHAND,Senior Secondary
"Near Pagal Baba Ashram, Rohini Road, Jasidih, Deoghar, Jharkhand ,814142",31/03/2018,3430284,MAIL@JASIDIHPUBLICSCHOOL.COM,BHARTENDU,Jasidih Public School,"6432 ,9204209631",JHARKHAND,Secondary School
"RIKHIYA DISTT. DEOGHAR JHARKHAND-814113 ,814113",31/03/2020,3440013,dubey_1963@rediffmail.com,S K DUBEY,JAWAHAR NAVODAYA VIDYALAYA,"0643 ,290745",JHARKHAND,Senior Secondary
"PAUTA PO CHANDWAR VIA KORRA DISTT HAZARIBAGH JHARKHAND ,825301",31/03/2022,3440012,akishoreprasad@yahoo.com,A K PRASAD,JAWAHAR NAVODAYA VIDYALAYA,"6548 ,285805",JHARKHAND,Senior Secondary
"BENAGARIA VIA NIRSA, DHANBAD, JHARKHAND ,828205",31/03/2010,3440017,shashikrsinha1965@gmail.com,SHASHI KUMAR SINHA,JAWAHAR NAVODAYA VIDYALAYA,"91 ,9430351509",JHARKHAND,Senior Secondary
"MASARIA DAM GHAGHRA DISTT GUMLA JHARKHAND ,835208",31/03/2021,3440001,scpandajnv@gmail.com,SUBASH CHANDRA PANDA,JAWAHAR NAVODAYA VIDYALAYA,"6423 ,290636",JHARKHAND,Senior Secondary
"B I T MESRA RANCHI JHARKHAND ,835215",31/03/2021,3440002,dkmodi42@rediffmail.com,DIPAK KUMAR MODI,JAWAHAR NAVODAYA VIDYALAYA,"0651 ,2271836",JHARKHAND,Senior Secondary
"HANSDIHA DUMKA JHARKHAND ,814145",31/03/2018,3440003,jnvdumka2011@gmail.com,Devendra Kumar,JAWAHAR NAVODAYA VIDYALAYA,"6431 ,248110",JHARKHAND,Senior Secondary
"VILLAGE-SIJULATA P.O. B.KUTUNG VIA TATA NAGAR DISTT SERAIKEL,-KHARSAWAN JHARKHAND ,831002",31/03/2009,3440004,sanjayjha1963@gmail.com,sanjay Kumar Jha,JAWAHAR NAVODAYA VIDYALAYA,"0657 ,2745249",JHARKHAND,Senior Secondary
"P O LATEHAR DISTT PALAMAU JHARKHAND ,829206",31/03/2024,3440005,bkm158@yahoo.com,BINOD KUMAR MANDAL,JAWAHAR NAVODAYA VIDYALAYA,"6565 ,9470192100",JHARKHAND,Senior Secondary
"LALMATIA DHANKUNDA PO BARA SIMRA DISTT GODDA JHARKHAND ,814165",31/03/2018,3440006,dinesh_bdk1963@rediffmail.com,DINESH KUMAR,JAWAHAR NAVODAYA VIDYALAYA,"0 ,9798385047",JHARKHAND,Senior Secondary
"JOGNA P.O. SENGA VIA KURU DT. LOHARDAGA JHARKHAND ,835304",31/03/2020,3440007,psbarajnvr@gmail.com,PUNAM SUNITA BARA,JAWAHAR NAVODAYA VIDYALAYA,"6526 ,275571",JHARKHAND,Senior Secondary
"NAVODAYA GRAM AT & PO GANDEY DISTT GIRIDIH JHARKHAND ,815312",31/03/2015,3440008,sthiyagarajan_jnv@rediffmail.com,S THIYAGARAJAN,JAWAHAR NAVODAYA VIDYALAYA,"6532 ,239235",JHARKHAND,Senior Secondary
"NEAR SIDHO KANHO STADIUM P O &DISTT SAHIBGANJ JHARKHAND ,816109",31/03/2015,3440009,jnvsahibganj@gmail.com,M S HUSSAIN,JAWAHAR NAVODAYA VIDYALAYA,"0643 ,222778",JHARKHAND,Senior Secondary
"AT & PO TENUGHAT NO.1 DISTT BOKARO JHARKHAND ,829123",31/03/2014,3440010,udayprakashsingh1962@gmail.com,UDAY PRAKASH SINGH,JAWAHAR NAVODAYA VIDYALAYA,"6549 ,230611",JHARKHAND,Senior Secondary
"P O CHATRA CHATRA DISTT. JHARKHAND ,825401",31/03/2019,3440011,jnvchatra2@gmail.com,DAVESH NARAYAN,JAWAHAR NAVODAYA VIDYALAYA,",7079294105",JHARKHAND,Senior Secondary
"ANNARAJ NAWADIH DISTT GARWHA JHARKHAND ,822114",31/03/2020,3440014,mr.cbpg@gmail.cpm,CHANDRA BHUSHAN PRASAD GUPTA,JAWAHAR NAVODAYA VIDYALAYA,"6561 ,290531",JHARKHAND,Senior Secondary
"BALI KUDIA, PO CHOOTA PARULIA, DISTT EAST SINGHBHUM JHARKHAND ,832101",31/03/2018,3440015,dennison1803@gmail.com,Y DENNISON,JAWAHAR NAVODAYA VIDYALAYA,"6594 ,252210",JHARKHAND,Senior Secondary
"LOKAI DISTT KODERMA JHARKHAND ,825410",31/03/2022,3440016,WWW.SATISHMASARIA@GMAIL.COM,SATISH KUMAR,JAWAHAR NAVODAYA VIDYALAYA,"6534 ,292147",JHARKHAND,Senior Secondary
"PALTONGA POST DALTONGANJ DISTT PALAMAU JHARKHAND ,822101",31/03/2021,3440018,naeem.md@rediffmail.com,MD NAEEM,JAWAHAR NAVODAYA VIDYALAYA,"6562 ,222456",JHARKHAND,Secondary School
"at. taliyapokhar,po rolagram, ps maheshpur, distt pakur, jharkhand ,816106",31/03/2019,3440019,sharmatn2@gmail.com,TARKESHWAR NATH SHARMA,jawahar navodaya vidyalaya,"0642 ,3291500",JHARKHAND,Senior Secondary
"WEST SINGHBHUM, VILLAGE BISTUMPUR, POST SURYABASA,VIA JHIKPANI, DISTT WEST SINGHBHUM JHARKHAND ,833215",31/03/2021,3440020,jnvwestsinghbhum@gmail.com,Awadhesh Kumar Mahto,JAWAHAR NAVODAYA VIDYALAYA,"6582 ,8863933542",JHARKHAND,Senior Secondary
"AT BANO ROAD KOLEBIRA, P.O. KOLEBIRA, DISTT. SIMDEGA, JHARKHAND ,835211",31/03/2019,3440021,BPGUPTA1964@GMAIL.COM,BHUWANESHWAR PRASAD GUPTA,JAWAHAR NAVODAYA VIDYALAYA,"6527 ,9009784311",JHARKHAND,Senior Secondary
"TANBAJORE, PO-GUHIYOJORL, JAMTARA,JHARKHAND ,815351",31/03/2019,3440022,swastikakund812@gmail.com,SWASTIKA KUND,JAWAHAR NAVODAYA VIDYALAYA,"6433 ,09470591222",JHARKHAND,Senior Secondary
"JAPLA, PALAMU JHARKHAND ,822116",31/03/2019,3440023,mpandeyjnvr@gmail.com,MITHILESH PANDEY,JAWAHAR NAVODAYA VIDYALAYA-II,"6566 ,9470977146",JHARKHAND,Secondary School
"AT SEELAMPUR, PO MAHESHPUR DISTT. PAKUR II, JHARKHAND ,816107",31/03/2014,3440024,,DEBRAJ DWIVEDI,JAWAHAR NAVODAYA VIDYALYA,"03822 ,09471584837",JHARKHAND,Secondary School
"SHYAMALI RANCHI P.O. HINOO JHARKHAND ,834002",31/03/2021,3430004,ajayrajy.1@gmail.com,AJAYA KUMAR SINGH,JAWAHAR VIDYA MANDIR,"0651 ,2411221",JHARKHAND,Senior Secondary
"DIGWADIH NO. 12 PO PATHERDIH DHANBAD DISTT JHARKHAND ,828119",31/03/2017,3430033,reach2rchy@gmail.com,Runa Dubey,JAWAHARLAL NEHRU MEMORIAL SCHOOL,"0326 ,2380739",JHARKHAND,Senior Secondary
"P.O. Balipaur ,828201",31/03/2020,3430352,principal.jpsb@gmail.com,KALPANA SARKAR,Jharkhand Public School,"91 ,9204064800",JHARKHAND,Secondary School
"P O JITPUR DHANBAD DISTT JHARKHAND ,828108",31/03/2019,3430027,anitaverma828309@gmail.com,ANITA VERMA,JITPUR ACADEMY,"0326 ,2320363",JHARKHAND,Secondary School
"Dispensary Road, South Park , Bistupur, Distt East Singhbhum, Jharkhand ,831001",31/03/2019,3430275,principal.jssp@jemfoundation.in,SHOVNA DE,Jusco School,"0657 ,2317365",JHARKHAND,Senior Secondary
"Near Rankani Mandir, Road no -23 , Kadma ,831005",31/03/2021,3430288,principal.jsk@jemfoundation.in,Jhumjhumi Nandi,Jusco School,"0657 ,6503045",JHARKHAND,Secondary School
Village,31/03/2022,3430258,rakeshkumarkdis@gmail.com,RAKESH KUMAR,K.D. International School,"0 ,9771805450",JHARKHAND,Senior Secondary
"MAHATMA GANDHI NAGAR PO JHUMRITDAIYA DISTT KODERMA JHARKHAND ,825409",31/03/2020,3430199,krsvm_cbsetelaiya@rediffmail.com,AMARENDRA NARAYAN DUTTA,KAILASH RAI SARASWATI VIDYA MANDIR,"6534 ,225856",JHARKHAND,Senior Secondary
"SECTOR II HEC TOWNSHIP RANCHI JHARKHAND ,834004",31/03/2018,3430042,jacobcjin@yahoo.com,Jacob C J,KAIRALI SCHOOL,"0651 ,2442484",JHARKHAND,Senior Secondary
"SAKCHI PO SAKCHI JAMSHEDPUR JHARKHAND ,831001",31/03/2017,3430143,principal.khs@jemfoundation.in,FRANCIS JOSEPH,KASIDIH HIGH SCHOOL,"0657 ,2428165",JHARKHAND,Senior Secondary
"(GIRLS HIGH SCHOOL) P O DHORI DISTT BOKARO JHARKHAND ,825102",31/03/2018,3430073,srvastavam18@gmail.com,MAMTA SRIVASTAVA,KASTURBA SHREE VIDYA NIKETAN,"6549 ,220495",JHARKHAND,Secondary School
"GODDA, HIGH SCHOOL CAMPUS, DISTT. GODDA, JHARKHAND ,814133",31/03/2020,3400034,ldsabhi@gmail.com,LALDHAR S YADAV,KENDRIYA VIDYALAYA,"0642 ,2223998",JHARKHAND,Senior Secondary
"KOYALANAGAR B C C L TOWNSHIP P O KOYALANAGAR DHANBAD JHARKHAND ,826005",31/03/2002,3400011,helpdesk@xeenet.xeedhn.xeemail.com,M RRADHAKRISHNAN,KENDRIYA VIDYALAYA,",5406",JHARKHAND,Senior Secondary
"BARKAKANA DISTT. RAMGARH, JHARKHAND ,829102",31/03/2018,3400024,ukumar180@gmail.com,UMESH KUMAR,KENDRIYA VIDYALAYA,"0655 ,255115",JHARKHAND,Senior Secondary
"BHURKUNDA, P.O. N.T.S. BARKAKANA, GHUTUWA, DISTT. RAMGARH, JHARKHAND ,829103",31/03/2014,3400029,kvsmkhalkho@gmail.com,MASIDHANI KHALKHO,KENDRIYA VIDYALAYA,"6553 ,254019",JHARKHAND,Secondary School
"GARHWA, PIPRA KALA, GAYATRI NAGAR, GARHWA, JHARKHAND ,829103",31/03/2014,3400030,kvgarhwab64@gmail.com,SANDHYA REKHA MINZ,KENDRIYA VIDYALAYA,"6561 ,222336",JHARKHAND,Secondary School
"LATEHAR, NEAR GANDHI INTER COLLEGE, LATEHAR, JHARKHAND ,829206",31/03/2019,3400032,anuradha.kujur@rediffmail.com,ANURADHA KUJUR,KENDRIYA VIDYALAYA,"0656 ,5290004",JHARKHAND,Senior Secondary
"NEAR RAILWAY STATION PO GOMOH DT DHANDBAD JHARKHAND ,828401",31/03/2011,3400022,pchandrakvg@gmail.com,PREM CHANDRA,KENDRIYA VIDYALAYA,"0326 ,2472318",JHARKHAND,Senior Secondary
"DUGDA COAL WASHERY P.O. DUGDA DISTT. BOKARO JHARKHAND ,828404",31/03/2001,3400023,helpdesk@xeenet.xeedhn.xeemail.com,MR N C MANI,KENDRIYA VIDYALAYA,"0326 ,P&T 227",JHARKHAND,Senior Secondary
"CRPF DHRUWA RANCHI JHARKHAND ,834004",31/03/2010,3400025,symurugesh77@gmail.com,KARUPPIAH MURUGESHWARAN,KENDRIYA VIDYALAYA,"0651 ,767791180",JHARKHAND,Senior Secondary
"SURDA GHATSILA EAST SINGHBHUM JHARKHAND ,832303",31/03/2017,3400026,bishwanath.hansdah@yahoo.in,BISHWANATH HANSDAH,KENDRIYA VIDYALAYA,"6585 ,265412",JHARKHAND,Senior Secondary
"patratu po diesel colony patratu hazaribagh distt jharkhand ,829120",31/03/2019,3400012,prinkvptigga@gmail.com,SHANTI TIGGA,kendriya vidyalaya,"6553 ,286808",JHARKHAND,Senior Secondary
"DIPATOLI P.O. RMCH RANCHI JHARKHAND ,834009",31/03/2013,3400013,dtirkey.pplkvnr@gmail.com,DANIEL TIRKEY,KENDRIYA VIDYALAYA,"0651 ,2265292",JHARKHAND,Senior Secondary
"BHULI TOWNSHIP SRAMIK NAGAR DHANBAD JHARKHAND ,828104",31/03/2000,3400014,helpdesk@xeenet.xeedhn.xeemail.com,P C MISHRA,KENDRIYA VIDYALAYA,",2535",JHARKHAND,Senior Secondary
"D V C BOKARO THERMAL BOKARO DISTT JHARKHAND ,829107",31/03/2019,3400015,dkumarkvs@gmail.com,DINESH KUMAR,KENDRIYA VIDYALAYA,"6549 ,266785",JHARKHAND,Senior Secondary
"CCL RAJENDRA NAGAR COLONY P O HEHAL RATU ROAD RANCHI JHARKHAND ,834005",31/03/2021,3400016,rabindrakumarkvs@gmail.com,RABINDRA KUMAR,KENDRIYA VIDYALAYA,"0651 ,6520330",JHARKHAND,Senior Secondary
"MAITHON DAM DHANBAD DISTT JHARKHAND ,828207",31/03/2008,3400017,way2jmppl@gmail.com,JOSEPH MUNDU,KENDRIYA VIDYALAYA,"654 ,274379",JHARKHAND,Senior Secondary
"B C C L GOVINDPUR AREA P O TUNDOO DHANBAD JHARKHAND ,828128",31/03/2000,3400018,helpdesk@xeenet.xeedhn.xeemail.com,V N CHATURVEDI,KENDRIYA VIDYALAYA,",72247",JHARKHAND,Secondary School
"CHAKRADHARPUR P O CHAKRADHARPUR SINGHBHUM JHARKHAND ,833102",31/03/2009,3400019,savitrikumari552@gmail.com,savitri kumari,KENDRIYA VIDYALAYA,"6587 ,238104",JHARKHAND,Senior Secondary
"NAMKUM RANCHI JHARKHAND ,834010",31/03/2020,3400020,veenatirkey10@gmail.com,VEENA TIRKEY,KENDRIYA VIDYALAYA,"0651 ,2260171",JHARKHAND,Senior Secondary
"AT ADIWASI BALIKA CHHATRAWAS, SAMTOLI, P.O. GOTRA, DISTT. SIMDEGA, JHARKHAND ,835235",31/03/2021,3400031,jhakumarbijay@gmail.com,Bijay Kumar Jha,KENDRIYA VIDYALAYA,"6525 ,226385",JHARKHAND,Senior Secondary
"girls high school campus, new town, jamtara, jharkhand ,815351",31/03/2019,3400033,gkpatralekh@gmail.com,Gautam Kumar Patralekh,kendriya vidyalaya,"0643 ,3223561",JHARKHAND,Senior Secondary
"MADHUPUR, DISTT. DEOGHAR, JHARKHAND ,815353",31/03/2021,3400035,apmishra642@gmail.com,ANIRUDDHA PRASAD MISHRA,KENDRIYA VIDYALAYA,"0634 ,241200",JHARKHAND,Senior Secondary
"SAHIBGANJ, HABIBPUR, DISTT. SAHIBGANJ, JHARKHAND ,816109",31/08/2020,3400037,jeeverma@yahoo.in,JEEVAN VERMA,KENDRIYA VIDYALAYA,"6436 ,225122",JHARKHAND,Secondary School
"P O HINOO DORANDA RANCHI JHARKHAND ,834002",31/03/2007,3400002,rushiyachandra@gmail.com,RUSHIYA CHANDRA GOND,KENDRIYA VIDYALAYA,"0651 ,2482242",JHARKHAND,Senior Secondary
"RAMGARH CANTT RAMGARH DISTT JHARKHAND ,829122",31/03/2018,3400005,dramitabara@gmail.com,DR AMITA J BARA,KENDRIYA VIDYALAYA,"0655 ,222311",JHARKHAND,Senior Secondary
"OLD D V S BUILDING NEAR RLY CLUB ( E R) DHANBAD JHARKHAND ,826001",31/03/2019,3400007,kv1dhanbad@gmail.com,Ranjan Kishore,KENDRIYA VIDYALAYA,"326 ,2310551",JHARKHAND,Senior Secondary
"B S F CAMPUS MERU HAZARIBAGH DISTT JHARKHAND ,825317",31/03/2009,3400008,usharai374@gmail.com,USHA RAI,KENDRIYA VIDYALAYA,"6546 ,236842",JHARKHAND,Senior Secondary
