S.No.,Affiliation No.,State,Name,Head,Status,Affiliated upto,Address,Phone No.,Email
2957,2752108,DELHI,GOVT BOYS SEC SCHOOL,TEK CHAND,Secondary School,31/03/2008,"KONDLI GHARAULI MAYUR VIHAR PHASE III DELHI ,110096","011 ,22627832",tekchand765@gmail.com
2958,2750120,DELHI,GOVT BOYS SEC SCHOOL,VIPIN BIHARI,Secondary School,31/03/2020,"AZAD PUR VILLAGE DELHI ,110033","011 ,27128333",Gbssapv1309130@gmail.com
2959,2750170,DELHI,govt boys sec school,JATAN KUMAR,Secondary School,31/03/2017,"jagat pur, delhi ,110084","011 ,27611213",kumarjatan30@gmail.com
2960,2768055,DELHI,govt boys sec school,KISHAN LAL,Middle Class,31/03/2017,"mukundpur village, delhi ,110042","011 ,0",lalsahab1960@gmail.com
2961,2754031,DELHI,GOVT BOYS SEC SCHOOL (II SHIFT),R L SHARMA,Secondary School,31/03/2008,"CHIRAG ENCLAVE NEW DELHI ,110048",",26229103",
2962,2752078,DELHI,govt boys sec school ii shift,HARISH KUMAR,Secondary School,31/03/2016,"c block vivek vihar delhi ,110095","011 ,22168796",harishgulati1969@gmail.com
2963,2754085,DELHI,GOVT BOYS SEC SCHOOL II SHIFT,DEVENDER KUMAR,Secondary School,31/03/2014,"SECTOR IV DR AMBEDKAR NAGAR MADANGIR NEW DELHI ,110062","011 ,26057787",1923019dansiv@gmail.com
2964,2754081,DELHI,govt boys sec school no 1,RAM KUMAR SINGH,Secondary School,31/03/2018,"sect v dr.ambedkar nagar new delhi ,110062","011 ,29962355",RKSVP1956@GMAIL.COM
2965,2754104,DELHI,govt boys sec school no 3,V Selvarasu,Secondary School,31/03/2018,"mehrauli new delhi ,110030","011 ,26645218",VELUSELVARASU9@GMAIL.COM
2966,2756043,DELHI,GOVT BOYS SEC SCHOOL NO-2,SH H.B.BRAHMASTHALI,Secondary School,31/03/2013,"SUBHASH NAGAR NEW DELHI ,110027",",25136808",
2967,2756080,DELHI,GOVT BOYS SEC SCHOOL NO-2,RAMJI LAL MEENA,Secondary School,31/03/2018,"D BLOCK JANAKPURI NEW DELHI ,110058","011 ,28521539",school1720008@gmail.com
2968,2756102,DELHI,GOVT BOYS SEC. SCHOOL NO-3,SH R N GOEL,Secondary School,31/03/2009,"UTTAM NAGAR NEW DELHI ,110059",",",
2969,2756074,DELHI,govt boys sr sec,JALDEEP SINGH SEHRAWAT,Senior Secondary,31/03/2019,"school no.2 uttam nagar new delhi ,110059","011 ,25354223",JDS.SEHRAWAT@GMAIL.COM
2970,2756059,DELHI,GOVT BOYS SR SEC SCH,KARMBIR,Senior Secondary,31/03/2020,"AMAL VAS JWALAPURI DELHI ,110087","011 ,25272624",karmbir27@gmail.com
2971,2754109,DELHI,GOVT BOYS SR SEC SCHOOL,ARUN KUMAR,Senior Secondary,31/03/2020,"C BLOCK SANGAM VIHAR NEW DELHI ,110062","011 ,26043132",vparunkumar.1956@gmail.com
2972,2754068,DELHI,GOVT BOYS SR SEC SCHOOL,NAZAKAT ALI,Senior Secondary,31/03/2019,"NOOR NAGAR OKHLA NEW DELHI ,110025","011 ,26911420",nalichoudhary@gmail.com
2973,2756014,DELHI,govt boys sr sec school,DR BIPIN KUMAR SINGH,Senior Secondary,31/03/2019,"kair new dlehi ,110043","011 ,28013099",kair.school.2011@gmail.com
2974,2754001,DELHI,govt boys sr sec school,KATAR SINGH DHAMA,Senior Secondary,31/03/2017,"hari nagar ashram new delhi ,110014","011 ,1126342692",ksdhama15@gmail.com
2975,2754064,DELHI,govt boys sr sec school,RAJENDER KUMAR,Senior Secondary,31/03/2018,"varun marg defence colony new delhi ,110024","011 ,24333666",1421RK@gmail.com
2976,2756111,DELHI,govt boys sr sec school,RAMESH CHANDRA DINKAR,Senior Secondary,31/03/2019,"ambika vihar delhi ,110087","011 ,25274030",gbsss_av@yahoo.com
2977,2756009,DELHI,govt boys sr sec school,SATBIR SINGH GAHLAWAT,Senior Secondary,31/03/2018,"chhawla new delhi ,110071","011 ,25316324",satbirgahlawat99@gmail.com
2978,2756108,DELHI,GOVT BOYS SR SEC SCHOOL,MANOJ KUMAR PANDEY,Senior Secondary,31/03/2020,"F-Block, Budh Nagar, Inderpuri, New Delhi-110012 ,110012","011 ,25835764",mp0402@gmail.com
2979,2750048,DELHI,GOVT BOYS SR SEC SCHOOL,RAM PAL SINGH,Senior Secondary,31/03/2018,"RANA PRATAP BAGH DELHI ,110007","011 ,27452877",tevatia_rpsingh@yahoo.co.in
2980,2750097,DELHI,GOVT BOYS SR SEC SCHOOL,SHASHI PRAKASH,Senior Secondary,31/03/2019,"MAGAZINE ROAD DELHI ,110054","011 ,23812634",shashi_prakash1970@yahoo.com
2981,2754080,DELHI,govt boys sr sec school,NAVAL SINGH,Senior Secondary,31/03/2018,"rajokari new delhi ,110038","011 ,25065836",navalsingh1957@gmail.com
2982,2756093,DELHI,GOVT BOYS SR SEC SCHOOL,SUNIL KUMAR SHARMA,Senior Secondary,31/03/2015,"G-BLOCK VIKAS PURI NEW DELHI ,110018","011 ,28546283",1618010vp@gmail.com
2983,2754059,DELHI,GOVT BOYS SR SEC SCHOOL,DIGAMBER SINGH RAWAT,Senior Secondary,31/03/2018,"MOTI BAGH-I NEW DELHI ,110021","011 ,24670802",dsrawat_1964@yahoo.com
2984,2758034,DELHI,govt boys sr sec school,SUNIL KUMAR SHARMA,Senior Secondary,31/03/2018,"padam nagar delhi ,110007","011 ,23699946",subhamsharmaking1@gmail.com
2985,2756017,DELHI,govt boys sr sec school,SHIVNATH MEENA,Senior Secondary,31/03/2018,"ujwa new dlehi ,110073","011 ,25318261",ujwagbsss61623@gmail.com
2986,2752054,DELHI,govt boys sr sec school,RAVI DUTT,Senior Secondary,31/03/2022,"dayalpur delhi ,110094","011 ,22960114",HOS.GBSSSDP@GMAIL.COM
2987,2750121,DELHI,GOVT BOYS SR SEC SCHOOL,DULI CHAND MEHAR,Senior Secondary,31/03/2020,"QADIPUR DELHI ,110036","011 ,27732101",1309264hos@gmail.com
2988,2750007,DELHI,GOVT BOYS SR SEC SCHOOL,KRISHAN KUMAR,Senior Secondary,31/03/2018,"ALIPUR DELHI ,110036","011 ,27201093",asharamgbsssalp@gmail.com
2989,2756020,DELHI,govt boys sr sec school,RAMSWAROOP MEENA,Senior Secondary,31/03/2018,"dhansa new delhi ,110073","011 ,25313092",GBSSSDHANSA@REDIFFMAIL.COM
2990,2750029,DELHI,GOVT BOYS SR SEC SCHOOL,DR GOKULANAND DEOLAL,Senior Secondary,31/03/2019,"J J COLONY II NANGLOI DELHI ,110041","011 ,25485682",drdeolalgn@gmail.com
2991,2750125,DELHI,govt boys sr sec school,LAXMAN PRASAD SHARMA,Senior Secondary,31/03/2016,"e block sultan puri delhi ,110041","011 ,25961616",gbss1412086@yahoo.com
2992,2756133,DELHI,govt boys sr sec school,NAGENDRA PRASAD,Senior Secondary,31/03/2019,"mohan garden new delhi new delhi ,110059","011 ,25359320",gbsssmohangarden1618072@gmail.com
2993,2752008,DELHI,GOVT BOYS SR SEC SCHOOL,GANGA RAM,Senior Secondary,31/03/2017,"BABARPUR SHAHDARA DELHI ,110032","011 ,22822911",gangaram.k3@gmail.com
2994,2754044,DELHI,govt boys sr sec school,ALKA NAGPAL,Senior Secondary,31/03/2018,"mahipalpur new delhi ,110037","011 ,26781101",alka.ranibagh@gmail.com
2995,2750045,DELHI,GOVT BOYS SR SEC SCHOOL,Jitendar Kumar,Senior Secondary,31/03/2022,"PHASE-II ASHOK VIHAR DELHI ,110052","011 ,27144668",jitendardoegnctd@gmail.com
2996,2750034,DELHI,GOVT BOYS SR SEC SCHOOL,MUKESH KUMAR MEENA,Senior Secondary,31/03/2020,"AP BLOCK SHALIMAR BAGH DELHI ,110052","011 ,27482689",mkmeena008@gmail.com
2997,2750041,DELHI,govt boys sr sec school,VIRENDRA KUMAR DIKSHIT,Senior Secondary,31/03/2018,"sarai rohilla delhi ,110035","011 ,23646113",gbssssarairohilla23646113@gmail.com
2998,2756013,DELHI,govt boys sr sec school,PREM KUMAR JHA,Senior Secondary,31/03/2016,"ghumanhera new delhi ,110073","011 ,281301044",GBSSSGHUMANHERA@GMAIL.COM
2999,2756068,DELHI,govt boys sr sec school,PRAMOD KUMAR,Senior Secondary,31/03/2017,"i a r i pusa new delhi ,110012","011 ,25841573",gbssiaripusa@gmail.com
3000,2750069,DELHI,GOVT BOYS SR SEC SCHOOL,SHATRUGHAN PRASAD MALI,Senior Secondary,31/03/2018,"B-C BLOCK SULTANPURI DELHI ,110041","011 ,25479702",shatrughanmali998@gmail.com
3001,2756178,DELHI,govt boys sr sec school,FATEH SINGH,Senior Secondary,31/03/2018,"paprawat, new delhi ,110054","011 ,69999131",paprawat1822263@gmail.com
3002,2756105,DELHI,GOVT BOYS SR SEC SCHOOL,KRIPA SHANKAR UPADHYAY,Senior Secondary,31/03/2020,"HASTSAL NEW DELHI ,110059","011 ,25373923",KSUPADHYAYRD@GMAIL.COM
3003,2752072,DELHI,govt boys sr sec school,HARISH KUMAR,Senior Secondary,31/03/2015,"d block nand nagri delhi ,110093","011 ,22128727",gbsssschl@gmail.com
3004,2752088,DELHI,GOVT BOYS SR SEC SCHOOL,SUSHIL KUMAR,Senior Secondary,31/03/2019,"NEW KONDLI DELHI ,110096","011 ,22611086",1002014hos@gmail.com
3005,2750072,DELHI,GOVT BOYS SR SEC SCHOOL,MANDAN MISHRA,Senior Secondary,31/03/2019,"AVANTIKA ROHINI SEC-I DELHI ,110085","011 ,27512620",1413011zone13@gmail.com
3006,2756131,DELHI,GOVT BOYS SR SEC SCHOOL,SANTOSH PAL MEENA,Senior Secondary,31/03/2022,"BINDA PUR NEW DELHI ,110059","011 ,25633073",santoshpalmeena2@gmail.com
3007,2758028,DELHI,govt boys sr sec school,SATYA PAL SINGH DALAL,Senior Secondary,31/03/2018,"dev nagar new delhi ,110005","011 ,25712365",satyapalsinghdalal@gmail.com
3008,2752009,DELHI,GOVT BOYS SR SEC SCHOOL,LAL SAB,Senior Secondary,31/03/2012,"SHIVAJI PARK SHAHDARA DELHI ,110032","011 ,22328736",gbsssshivajipark@gmail.com
3009,2752028,DELHI,GOVT BOYS SR SEC SCHOOL,DINESH KUMAR,Senior Secondary,31/03/2015,"(CHANDER NAGAR) C BLOCK KRISHAN NAGAR DELHI ,110051","011 ,22093931",chandernagar07@gmail.com
3010,2756022,DELHI,GOVT BOYS SR SEC SCHOOL,SHRI BHAGWAN YADAV,Senior Secondary,31/03/2020,"JHARODA KALAN NEW DELHI ,110072","011 ,25315115",yadavsb1987@gmail.com
3011,2752003,DELHI,GOVT BOYS SR SEC SCHOOL,RAMAVTAR,Senior Secondary,31/03/2013,"JAFRABAD DELHI ,110053","011 ,22566245",ramavtar7591@gmail.com
3012,2750060,DELHI,GOVT BOYS SR SEC SCHOOL,BALWAN SINGH DHANKHAR,Senior Secondary,31/03/2020,"S.P.ROAD NANGLOI DELHI ,110041","011 ,25483649",dhankarbalwan@gmail.com
3013,2768057,DELHI,govt boys sr sec school,RAJENDRA SINGH,Senior Secondary,31/03/2017,"p-block, sultanpuri, delhi ,110086","011 ,25962311",gbsss1412288@gmail.com
3014,2754069,DELHI,govt boys sr sec school,BIRBAL SINGH POONIA,Senior Secondary,31/03/2022,"g-block kalkaji new delhi ,110019","011 ,26489366",gbsss1925012gkalkaji@gmail.com
3015,2750081,DELHI,GOVT BOYS SR SEC SCHOOL,KAMLESH SHARMA,Senior Secondary,31/03/2019,"BL-BLOCK SHALIMAR BAGH DELHI ,110052","011 ,27494880",1309006hos@gmail.com
3016,2750013,DELHI,GOVT BOYS SR SEC SCHOOL,ANUP SINGH,Senior Secondary,31/03/2019,"BAWANA DELHI ,110039","011 ,27754539",gbsssbawana12@gmail.com
3017,2756029,DELHI,govt boys sr sec school,T L MEENA,Senior Secondary,31/03/2019,"a-block janakpuri new delhi ,110058","011 ,25510438",tlmeena76@gmail.com
3018,2750071,DELHI,GOVT BOYS SR SEC SCHOOL,SURENDER SINGH AHLAVAT,Senior Secondary,31/03/2019,"BADLI DELHI ,110042","011 ,27858452",krishankry@gmail.com
3019,2756090,DELHI,GOVT BOYS SR SEC SCHOOL,M L MEENA,Senior Secondary,31/03/2014,"KHAIRA NAJAFGARH NEW DELHI ,110043","011 ,28015815",hoskhaira2012@yahoo.com
3020,2752100,DELHI,GOVT BOYS SR SEC SCHOOL,ANUPAM KUMAR SHARMA,Senior Secondary,31/03/2015,"TUKHMEER PUR DELHI DELHI ,110094","011 ,22968322",sharmaanupam447@gmail.com
3021,2754053,DELHI,govt boys sr sec school,VANDANA,Senior Secondary,31/03/2019,"sect-ii r k puram new delhi ,110022","011 ,26195231",1719013rkp@gmail.com
3022,2750019,DELHI,GOVT BOYS SR SEC SCHOOL,KRISHAN KUMAR SHARMA,Senior Secondary,31/03/2018,"KATEWARA DELHI ,110039","011 ,27741031",KATEWARASCHOOL@REDIFFMAIL.COM
3023,2750008,DELHI,GOVT BOYS SR SEC SCHOOL,DHARAM VIR SINGH BALAYAN,Senior Secondary,31/03/2019,"BAKHTAWARPUR DELHI ,110036","011 ,27202521",HOS1309266@GMAIL.COM
3024,2754009,DELHI,GOVT BOYS SR SEC SCHOOL,QUAYAMUDDIN,Senior Secondary,31/03/2020,"JANGPURA NEW DELHI ,110014","011 ,24314713",khanquayam@gmail.com
3025,2758009,DELHI,GOVT BOYS SR SEC SCHOOL,U K SINGH,Senior Secondary,31/03/2018,"DR MUKHERJEE NAGAR DELHI ,110009","011 ,27659017",uk_dr59@yahoo.com
3026,2754063,DELHI,govt boys sr sec school,ROSHAN LAL,Senior Secondary,31/03/2021,"m b road sect-i pushp vihar new delhi ,110017","011 ,29564232",ROSHANLALJONWAL@GMAIL.COM
3027,2752006,DELHI,GOVT BOYS SR SEC SCHOOL,SATYA SUDHAKAR,Senior Secondary,31/03/2016,"GOKALPURI DELHI ,110094","011 ,22178026",satyasudhakar81@gmail.com
3028,2752067,DELHI,GOVT BOYS SR SEC SCHOOL,VIRENDRA SINGH,Senior Secondary,31/03/2014,"KHICHRI PUR DELHI ,110091","011 ,22771920",virendra0805.singh@gmail.com
3029,2756021,DELHI,GOVT BOYS SR SEC SCHOOL,PARVINDER KUMAR,Senior Secondary,31/03/2019,"TIKRI KALAN DELHI ,110041","011 ,28351070",parvinderkumar01976@gmail.com
3030,2754103,DELHI,govt boys sr sec school,HAROON ALI,Senior Secondary,31/03/2021,"joga bai batla house jamia nagar new delhi ,110025","011 ,26983212",haroonkaili@yahoo.com
3031,2754037,DELHI,govt boys sr sec school,SATPAL SINGH,Senior Secondary,31/03/2018,"malviya nagar new delhi ,110017","011 ,26682015",gbsssmalviyanagar@gmail.com
3032,2756049,DELHI,govt boys sr sec school,SURESH DATT OJHA,Senior Secondary,31/03/2017,"rajouri garden (main) new delhi ,110027","011 ,25164226",sureshdattojha56@gmail.com
3033,2750104,DELHI,GOVT BOYS SR SEC SCHOOL,DEEN BANDHU BARMAN,Senior Secondary,31/03/2020,"NITHARI DELHI ,110041","011 ,25479334",gbsssnithari1412092@gmail.com
3034,2750023,DELHI,GOVT BOYS SR SEC SCHOOL,DR NIRANJAN KUMAR,Senior Secondary,31/03/2019,"MUNDKA DELHI ,110041","011 ,28342361",niranjankumar.shahi@gmail.com
3035,2752038,DELHI,GOVT BOYS SR SEC SCHOOL,RAMESH CHANDRA SHARMA,Senior Secondary,31/03/2020,"MANDOLI DELHI ,110093","011 ,22344720",sharma007@ymail.com
3036,2754029,DELHI,govt boys sr sec school,RAM NIWAS MEENA,Senior Secondary,31/03/2018,"d d a flats kalkaji new delhi ,110019","011 ,26022433",rnmeena1964@gmail.com
3037,2754043,DELHI,govt boys sr sec school,YASHWANT SINGH NEGI,Senior Secondary,31/03/2018,"ghitni new delhi ,110030","011 ,26502102",YSNEGI2007@GMAIL.COM
3038,2754030,DELHI,GOVT BOYS SR SEC SCHOOL,JAI KISHAN,Senior Secondary,31/03/2019,"CHIRAG DELHI SWAMI NAGAR NEW DELHI ,110017","011 ,26496797",jaikishan971128@gmail.com
3039,2754016,DELHI,GOVT BOYS SR SEC SCHOOL,JAI PAL SINGH,Senior Secondary,31/03/2020,"PANDARA ROAD NEW DELHI ,110003","011 ,23381065",jaipalsingh19831900@gmail.com
3040,2752085,DELHI,GOVT BOYS SR SEC SCHOOL,GAUTAM SINGH TYAGI,Senior Secondary,31/03/2019,"D D A FLATS LONI ROAD DELHI ,110093","011 ,22817384",tyagigs58@gmail.com
3041,2752027,DELHI,govt boys sr sec school,MADAN MOHAN VASHISTHA,Senior Secondary,31/03/2017,"block no-13 geeta colony delhi ,110031","011 ,22548602",MMVASHISTHA1964@GMAIL.COM
3042,2752073,DELHI,GOVT BOYS SR SEC SCHOOL,BRIJ BHUSHAN,Senior Secondary,31/03/2022,"SHASTRI PARK DELHI ,110053","011 ,22185712",principalgbsssshastripark@rediffmail.com
3043,2754074,DELHI,GOVT BOYS SR SEC SCHOOL,GIRRAJ SINGH SHARMA,Senior Secondary,31/03/2019,"DEOLI NEW DELHI ,110062","011 ,26048091",grs19850105@gmail.com
3044,2754071,DELHI,govt boys sr sec school,GAJ RAJ SINGH,Senior Secondary,31/03/2018,"begumpur stc/mmtc colony new delhi ,110017","011 ,26855369",1923013bp@gmail.com
3045,2756122,DELHI,GOVT BOYS SR SEC SCHOOL,Vijay Pal Singh,Senior Secondary,31/03/2021,"MUBARIK PUR DABAS DELHI-81 DELHI ,110081","011 ,9711037712",vjps1960@gmail.com
3046,2752011,DELHI,govt boys sr sec school,DEVENDRA KUMAR JAIN,Senior Secondary,31/03/2018,"g t road shahdara delhi ,110032","011 ,22321564",dkjain1741q@gmail.com
3047,2752079,DELHI,GOVT BOYS SR SEC SCHOOL,SUSHIL KUMAR,Senior Secondary,31/03/2017,"J & K BLOCK DILSHAD GARDEN DELHI ,110095","011 ,22123061",1106012hos@gmail.com
3048,2750075,DELHI,GOVT BOYS SR SEC SCHOOL,MAHESH KUMAR,Senior Secondary,31/03/2012,"D-BLOCK IST SHIFT MANGOLPURI DELHI ,110083","011 ,27911389",maheshbatra25@gmail.com
3049,2750123,DELHI,govt boys sr sec school,NARESH KUMAR BHARDWAJ,Senior Secondary,31/03/2020,"mangolpur khurd delhi ,110083","011 ,27921704",nareshbhardwaj567@gmail.com
3050,2754097,DELHI,GOVT BOYS SR SEC SCHOOL,PYARE LAL,Senior Secondary,31/03/2017,"SECTOR I DR.AMBEDKAR NAGAR (TIGRI) NEW DELHI ,110062","011 ,26057784",1923017tig@gmail.com
3051,2754139,DELHI,govt boys sr sec school,VIJAY KUMAR,Senior Secondary,31/03/2016,"madanpur khadar, new delhi ,110076","011 ,36943790",gbsssmadanpurkhadar@gmail.com
3052,2752066,DELHI,govt boys sr sec school,CHARAN SINGH,Senior Secondary,31/03/2016,"gokal pur village delhi ,110094","011 ,22814649",gbsssgokalpurvillage@gmail.com
3053,2750017,DELHI,GOVT BOYS SR SEC SCHOOL,CHIRANJI LAL THAKKAR,Senior Secondary,31/03/2016,"KHERA KHURD DELHI ,110082","011 ,27844025",thakkar.cl@gmail.com
3054,2752094,DELHI,GOVT BOYS SR SEC SCHOOL,CHANDKI RAM,Senior Secondary,31/03/2019,"SABOLI DELHI ,110093","011 ,22344375",PRINCIPALCHANDKIRAM@GMAIL.COM
3055,2752084,DELHI,GOVT BOYS SR SEC SCHOOL,KALI CHARAN,Senior Secondary,31/03/2019,"NEW ASHOK NAGAR DELHI ,110096","011 ,22715869",vspkali1986@gmail.com
3056,2750014,DELHI,GOVT BOYS SR SEC SCHOOL,BRIHASPATI SHARMA,Senior Secondary,31/03/2017,"POOTH KHURD DELHI ,110039","011 ,27761097",brihaspati_sharma@rediffmail.com
3057,2756012,DELHI,govt boys sr sec school,BRAJ MOHAN LAL MEENA,Senior Secondary,31/03/2018,"dichaon kalan new delhi ,110043","011 ,65640056",dichaonkalanhos@gmail.com
3058,2754067,DELHI,govt boys sr sec school,PRAMOD KUMAR,Senior Secondary,31/03/2018,"tughlakabad village new delhi ,110044","011 ,29966252",GBSSSTKDVILL.1925014@GMAIL.COM
3059,2750043,DELHI,GOVT BOYS SR SEC SCHOOL,MEGH NATH DANDA,Senior Secondary,31/03/2019,"BHARAT NAGAR DELHI ,110052","011 ,27303197",mndanda09@gmail.com
3060,2752013,DELHI,govt boys sr sec school,NAROTTAM PURI,Senior Secondary,31/03/2018,"seema puri delhi ,110095","011 ,22355423",1106009hos@gmail.com
3061,2754088,DELHI,govt boys sr sec school,SHAKTI RAJ,Senior Secondary,31/03/2018,"hauz rani malviya nagar new delhi ,110017","011 ,26683643",shaktiraj13091970@gmail.com
3062,2750006,DELHI,GOVT BOYS SR SEC SCHOOL,SHASHI BHUSHAN KAUSHIK,Senior Secondary,31/03/2018,"D BLOCK JAHANGIR PURI DELHI ,110033","011 ,27638625",gbsss1309255@gmail.com
3063,2756045,DELHI,GOVT BOYS SR SEC SCHOOL,VIRENDER KUMAR,Senior Secondary,31/03/2014,"TAGORE GARDEN NEW DELHI ,110027","011 ,25194072",vkumar151261@gmail.com
3064,2750032,DELHI,GOVT BOYS SR SEC SCHOOL,DHIRENDER SINGH,Senior Secondary,31/03/2020,"RANI BAGH DELHI ,110034","011 ,27023437",dhirender.singh60@gmail.com
3065,2754025,DELHI,GOVT BOYS SR SEC SCHOOL,M V S THAKAR,Senior Secondary,31/03/2013,"ANDREWS GANJ NEW DELHI ,110049",",26447728",
3066,2750027,DELHI,GOVT BOYS SR SEC SCHOOL,SH B.C.URRETI,Senior Secondary,31/03/2013,"Q BLOCK MANGOLPURI DELHI ,110083",",27272899",
3067,2754057,DELHI,GOVT BOYS SR SEC SCHOOL,V M VERMA,Senior Secondary,31/03/2010,"SECTOR-VI R K PURAM NEW DELHI ,110022",",26175743",
3068,2754058,DELHI,GOVT BOYS SR SEC SCHOOL,M V S THAKUR,Senior Secondary,31/03/2008,"SECTOR-VII R K PURAM NEW DELHI ,110022",",26191092",
3069,2754066,DELHI,govt boys sr sec school,h p singh,Senior Secondary,31/03/2018,"chitranjan park new delhi ,110019","011 ,26477788",
3070,2750058,DELHI,GOVT BOYS SR SEC SCHOOL,R.L. SOOD,Senior Secondary,31/03/2008,"SHASTRI NAGAR DELHI ,110052",",27517369",
3071,2756035,DELHI,GOVT BOYS SR SEC SCHOOL,R S AGGARWAL,Senior Secondary,31/03/2008,"HARI NAGAR CLOCK TOWER NEW DELHI ,110064",",25494155",
3072,2750085,DELHI,GOVT BOYS SR SEC SCHOOL,GOPAL KRISHAN GUPTA,Senior Secondary,31/03/2010,"U-BLOCK MANGOL PURI DELHI ,110083","011 ,27918931",gkg101@gmail.com
3073,2750073,DELHI,GOVT BOYS SR SEC SCHOOL,SUNIL KUMAR DAHIYA,Senior Secondary,31/03/2020,"S/U BLOCK PITAMPURA DELHI ,110034","011 ,27343081",1411017@GMAIL.COM
3074,2752044,DELHI,GOVT BOYS SR SEC SCHOOL,kunver prakash,Senior Secondary,31/03/2019,"E-BLOCK NAND NAGRI DELHI ,110093","011 ,22583599",kpsingh1106003@gmail.com
3075,2752110,DELHI,GOVT BOYS SR SEC SCHOOL,GIRRAJ SINGH,Senior Secondary,31/03/2012,"SONIA VIHAR DELHI ,110094","011 ,22962180",grsingh1965@gmail.com
3076,2750025,DELHI,GOVT BOYS SR SEC SCHOOL,RAJENDER KISHORE,Senior Secondary,31/03/2020,"SULTAN PURI DELHI ,110041","011 ,25961656",gbsss1412005@gmail.com
3077,2756053,DELHI,govt boys sr sec school,DES RAJ,Senior Secondary,31/03/2013,"moti nagar new delhi ,110015","011 ,25100165",sbvmotinagar@yahoo.com
3078,2750124,DELHI,GOVT BOYS SR SEC SCHOOL,RAM CHANDRA RAM,Senior Secondary,31/03/2015,"D BLOCK SULTANPURI DELHI ,110041","011 ,25470548",gbss1412085zone12@gmail.com
3079,2758025,DELHI,govt boys sr sec school,SANJEEV KUMAR,Senior Secondary,31/03/2020,"mata sundri road new delhi ,110002","011 ,23239835",krsanjeev.delhi@gmail.com
3080,2756064,DELHI,GOVT BOYS SR SEC SCHOOL,BIRDHI LAL MEENA,Senior Secondary,31/03/2019,"WEST PATEL NAGAR NEW DELHI ,110008","011 ,25884137",gbssswestpatelnagar@gmail.com
3081,2750087,DELHI,GOVT BOYS SR SEC SCHOOL,VIJAY KUMAR GUPTA,Senior Secondary,31/03/2019,"PRASHANT VIHAR DELHI ,110085","011 ,27862745",vijaygupta.1967@gmail.com
3082,2752001,DELHI,govt boys sr sec school,PARVEEN KUMAR,Senior Secondary,31/03/2015,"new seemapuri delhi ,110095","011 ,22353202",parveenkumar1972@gmail.com
3083,2750046,DELHI,GOVT BOYS SR SEC SCHOOL,D K KAUSHIK,Senior Secondary,31/03/2016,"D-BLOCK ASHOK VIHAR DELHI ,110052","011 ,27118298",dkkaushik2006@gmail.com
3084,2750022,DELHI,GOVT BOYS SR SEC SCHOOL,KULDEEP SINGH,Senior Secondary,31/03/2017,"KARALA DELHI ,110081","011 ,25950398",1413079zone13@gmail.com
3085,2756114,DELHI,govt boys sr sec school,SUMANT CHAND,Senior Secondary,31/03/2018,"palam village raj nagar i new delhi ,110045","011 ,25363848",sumantchandbhardwaj@rediffmail.com
3086,2750068,DELHI,GOVT BOYS SR SEC SCHOOL,HARVIR SINGH,Senior Secondary,31/03/2018,"K-BLOCK JAHANGIRPURI DELHI ,110033","011 ,27637208",Gbssskjahangirpuri@gmail.com
3087,2750001,DELHI,GOVT BOYS SR SEC SCHOOL,Y S RANA,Senior Secondary,31/03/2018,"DHAKA DELHI ,110009","011 ,27659281",gbsssdhakka@gmail.com
3088,2758041,DELHI,GOVT BOYS SR SEC SCHOOL (FOR BLINDS),R C PASWAN,Senior Secondary,31/03/2042,"GTB NAGAR KINGSWAY CAMP SEWA KUTIR DELHI ,110009","011 ,27658139",principal.gsssbb@live.com
3089,2752059,DELHI,GOVT BOYS SR SEC SCHOOL II SHIFT,DEVENDER KUMAR,Senior Secondary,31/03/2022,"JANTA FLATS NAND NAGRI DELHI ,110093","011 ,22590389",meena.dk1969@gmail.com
3090,2758013,DELHI,GOVT BOYS SR SEC SCHOOL NO 1,SHASHI BHUSHAN,Senior Secondary,31/03/2016,"MORI GATE DELHI ,110006","011 ,23954183",sbv1morigate1207022@gmail.com
3091,2752007,DELHI,GOVT BOYS SR SEC SCHOOL NO 1,NAND KISHORE,Senior Secondary,31/03/2022,"C BLOCK YAMUNA VIHAR DELHI ,110053","011 ,22919066",nK11004009@gmail.com
3092,2752005,DELHI,govt boys sr sec school no 1,BIJENDAR SINGH,Senior Secondary,31/03/2018,"ghonda delhi ,110053","011 ,22859794",bsinghhos1962@gmail.com
3093,2756040,DELHI,govt boys sr sec school no 1,RAM RAJ MEENA,Senior Secondary,31/03/2018,"j j colony khyala new delhi ,110018","011 ,25983185",visionforeducation.nation@gmail.com
3094,2750005,DELHI,GOVT BOYS SR SEC SCHOOL NO 1,YAD RAM MEENA,Senior Secondary,31/03/2020,"ADARSH NAGAR DELHI ,110033","011 ,27676420",
3095,2752035,DELHI,govt boys sr sec school no 1,RAJEEV KUMAR,Senior Secondary,31/03/2018,"mansarover park shahdara delhi ,110032","011 ,22578531",rajiv801415@gmail.com
3096,2756070,DELHI,govt boys sr sec school no 2,k c meena,Senior Secondary,31/03/2020,"c-block janak puri new delhi ,110058","011 ,25521120",1618005janakpuri@gmail.com
3097,2752045,DELHI,GOVT BOYS SR SEC SCHOOL NO 2,DALVIR SINGH CHAUDHARY,Senior Secondary,31/03/2019,"C-BLOCK YAMUNA VIHAR DELHI ,110053","011 ,22915572",SCHOOL1104008@GMAIL.COM
